"Host_code" "clust_smb_quad_plant" "clust_smb_quad_virus" "Grid_code" "clus_famd_grid_env" "Collection_date"
"108" "21_CAM_070900" 5 2 "21_CAM_07" "3" "2022-05-12"
"109" "21_CAM_080100" 4 1 "21_CAM_08" "2" "2022-05-12"
"110" "21_CAM_080200" 4 2 "21_CAM_08" "2" "2022-05-12"
"111" "21_CAM_080300" 4 1 "21_CAM_08" "2" "2022-05-11"
"112" "21_CAM_080400" 4 1 "21_CAM_08" "2" "2022-05-11"
"113" "21_CAM_080500" 4 2 "21_CAM_08" "2" "2022-04-25"
"114" "21_CAM_080600" 4 2 "21_CAM_08" "2" "2022-04-14"
"115" "21_CAM_080700" 4 1 "21_CAM_08" "2" "2022-04-14"
"116" "21_CAM_080800" 4 1 "21_CAM_08" "2" "2022-05-12"
"117" "21_CAM_080900" 4 2 "21_CAM_08" "2" "2022-05-12"
"118" "21_CAM_090100" 4 1 "21_CAM_09" "2" "2022-05-12"
"119" "21_CAM_090200" 4 1 "21_CAM_09" "2" "2022-05-12"
"120" "21_CAM_090300" 4 1 "21_CAM_09" "2" "2022-05-12"
"121" "21_CAM_090400" 4 2 "21_CAM_09" "2" "2022-05-11"
"122" "21_CAM_090500" 4 2 "21_CAM_09" "2" "2022-04-25"
"123" "21_CAM_090600" 4 1 "21_CAM_09" "2" "2022-04-25"
"124" "21_CAM_090700" 4 2 "21_CAM_09" "2" "2022-04-25"
"125" "21_CAM_090800" 4 2 "21_CAM_09" "2" "2022-04-14"
"126" "21_CAM_090900" 4 2 "21_CAM_09" "2" "2022-05-12"
"127" "21_CAM_100100" 4 1 "21_CAM_10" "2" "2022-05-12"
"128" "21_CAM_100200" 4 1 "21_CAM_10" "2" "2022-05-12"
"129" "21_CAM_100300" 4 1 "21_CAM_10" "2" "2022-05-12"
"130" "21_CAM_100400" 4 2 "21_CAM_10" "2" "2022-05-12"
"131" "21_CAM_100500" 4 1 "21_CAM_10" "2" "2022-05-11"
"132" "21_CAM_100600" 4 2 "21_CAM_10" "2" "2022-05-11"
"133" "21_CAM_100700" 4 2 "21_CAM_10" "2" "2022-04-25"
"134" "21_CAM_100800" 4 1 "21_CAM_10" "2" "2022-04-25"
"135" "21_CAM_100900" 4 1 "21_CAM_10" "2" "2022-05-12"
"136" "21_CAM_110100" 4 1 "21_CAM_11" "2" "2022-05-12"
"137" "21_CAM_110200" 4 1 "21_CAM_11" "2" "2022-05-12"
"138" "21_CAM_110300" 4 2 "21_CAM_11" "2" "2022-05-11"
"139" "21_CAM_110400" 4 2 "21_CAM_11" "2" "2022-05-11"
"140" "21_CAM_110500" 4 2 "21_CAM_11" "2" "2022-04-25"
"141" "21_CAM_110600" 4 2 "21_CAM_11" "2" "2022-04-25"
"142" "21_CAM_110700" 4 2 "21_CAM_11" "2" "2022-04-25"
"143" "21_CAM_110800" 4 2 "21_CAM_11" "2" "2022-04-14"
"144" "21_CAM_110900" 4 2 "21_CAM_11" "2" "2022-05-12"
"145" "21_CAM_120100" 6 2 "21_CAM_12" "2" "2022-05-12"
"146" "21_CAM_120200" 6 1 "21_CAM_12" "2" "2022-05-12"
"147" "21_CAM_120300" 6 2 "21_CAM_12" "2" "2022-05-12"
"148" "21_CAM_120400" 6 2 "21_CAM_12" "2" "2022-05-12"
"149" "21_CAM_120500" 6 2 "21_CAM_12" "2" "2022-05-11"
"150" "21_CAM_120600" 6 1 "21_CAM_12" "2" "2022-04-25"
"151" "21_CAM_120700" 6 2 "21_CAM_12" "2" "2022-04-14"
"152" "21_CAM_120800" 6 1 "21_CAM_12" "2" "2022-05-16"
"153" "21_CAM_120900" 6 1 "21_CAM_12" "2" "2022-05-12"
"154" "21_CAM_130100" 6 1 "21_CAM_13" "2" "2022-05-12"
"155" "21_CAM_130200" 6 2 "21_CAM_13" "2" "2022-05-11"
"156" "21_CAM_130300" 6 2 "21_CAM_13" "2" "2022-05-11"
"157" "21_CAM_130400" 6 2 "21_CAM_13" "2" "2022-05-11"
"158" "21_CAM_130500" 6 2 "21_CAM_13" "2" "2022-05-11"
"159" "21_CAM_130600" 6 1 "21_CAM_13" "2" "2022-04-25"
"160" "21_CAM_130700" 6 2 "21_CAM_13" "2" "2022-04-25"
"161" "21_CAM_130800" 6 1 "21_CAM_13" "2" "2022-04-14"
"162" "21_CAM_130900" 6 2 "21_CAM_13" "2" "2022-06-03"
"163" "21_CAM_160100" 6 2 "21_CAM_16" "1" "2022-05-18"
"164" "21_CAM_160200" 6 2 "21_CAM_16" "1" "2022-05-18"
"165" "21_CAM_160300" 6 2 "21_CAM_16" "1" "2022-05-18"
"166" "21_CAM_160400" 6 2 "21_CAM_16" "1" "2022-05-16"
"167" "21_CAM_160500" 6 2 "21_CAM_16" "1" "2022-05-16"
"168" "21_CAM_160600" 6 2 "21_CAM_16" "1" "2022-05-18"
"169" "21_CAM_160700" 6 1 "21_CAM_16" "1" "2022-05-18"
"170" "21_CAM_160800" 6 2 "21_CAM_16" "1" "2022-05-16"
"171" "21_CAM_160900" 6 1 "21_CAM_16" "1" "2022-05-16"
"172" "21_CAM_170100" 6 2 "21_CAM_17" "1" "2022-06-03"
"173" "21_CAM_170200" 6 2 "21_CAM_17" "1" "2022-05-18"
"174" "21_CAM_170300" 6 1 "21_CAM_17" "1" "2022-05-18"
"175" "21_CAM_170400" 6 2 "21_CAM_17" "1" "2022-05-16"
"176" "21_CAM_170500" 6 2 "21_CAM_17" "1" "2022-06-03"
"177" "21_CAM_170600" 6 2 "21_CAM_17" "1" "2022-05-18"
"178" "21_CAM_170700" 6 2 "21_CAM_17" "1" "2022-05-18"
"179" "21_CAM_170800" 6 2 "21_CAM_17" "1" "2022-05-16"
"180" "21_CAM_170900" 6 1 "21_CAM_17" "1" "2022-05-16"
"181" "21_CAM_180100" 6 1 "21_CAM_18" "3" "2022-05-16"
"182" "21_CAM_180200" 6 2 "21_CAM_18" "3" "2022-05-18"
"183" "21_CAM_180300" 6 2 "21_CAM_18" "3" "2022-05-18"
"184" "21_CAM_180400" 6 2 "21_CAM_18" "3" "2022-05-16"
"185" "21_CAM_180500" 6 1 "21_CAM_18" "3" "2022-05-18"
"186" "21_CAM_180600" 6 2 "21_CAM_18" "3" "2022-05-18"
"187" "21_CAM_180700" 6 1 "21_CAM_18" "3" "2022-05-18"
"188" "21_CAM_180800" 6 2 "21_CAM_18" "3" "2022-05-16"
"189" "21_CAM_180900" 6 2 "21_CAM_18" "3" "2022-05-16"
"190" "22_CAM_010100" 2 2 "22_CAM_01" "1" "2022-06-03"
"191" "22_CAM_010200" 2 2 "22_CAM_01" "1" "2022-05-18"
"192" "22_CAM_010300" 2 1 "22_CAM_01" "1" "2022-05-18"
"193" "22_CAM_010400" 2 1 "22_CAM_01" "1" "2022-05-18"
"194" "22_CAM_010500" 2 2 "22_CAM_01" "1" "2022-05-16"
"195" "22_CAM_010600" 2 2 "22_CAM_01" "1" "2022-05-18"
"196" "22_CAM_010700" 2 1 "22_CAM_01" "1" "2022-05-18"
"197" "22_CAM_010800" 2 2 "22_CAM_01" "1" "2022-05-18"
"198" "22_CAM_010900" 2 2 "22_CAM_01" "1" "2022-05-18"
"199" "22_CAM_020100" 2 2 "22_CAM_02" "1" "2022-05-16"
"200" "22_CAM_020200" 2 2 "22_CAM_02" "1" "2022-05-16"
"201" "22_CAM_020300" 2 2 "22_CAM_02" "1" "2020-06-22"
"202" "22_CAM_020400" 2 2 "22_CAM_02" "1" "2020-06-22"
"203" "22_CAM_020500" 2 2 "22_CAM_02" "1" "2020-06-22"
"204" "22_CAM_020600" 2 2 "22_CAM_02" "1" "2020-06-22"
"205" "22_CAM_020700" 2 2 "22_CAM_02" "1" "2020-06-22"
"206" "22_CAM_020800" 2 2 "22_CAM_02" "1" "2020-06-22"
"207" "22_CAM_020900" 2 2 "22_CAM_02" "1" "2020-06-22"
"208" "22_CAM_030100" 1 2 "22_CAM_03" "3" "2020-06-22"
"209" "22_CAM_030200" 1 2 "22_CAM_03" "3" "2020-06-22"
"210" "22_CAM_030300" 1 2 "22_CAM_03" "3" "2020-06-22"
"211" "22_CAM_030400" 1 2 "22_CAM_03" "3" "2020-06-22"
"212" "22_CAM_030500" 1 2 "22_CAM_03" "3" "2020-06-22"
"213" "22_CAM_030600" 1 2 "22_CAM_03" "3" "2020-06-22"
"214" "22_CAM_030700" 1 2 "22_CAM_03" "3" "2020-06-22"
"215" "22_CAM_030800" 1 2 "22_CAM_03" "3" "2020-06-22"
"216" "22_CAM_030900" 1 2 "22_CAM_03" "3" "2020-06-23"
"217" "22_CAM_040100" 1 2 "22_CAM_04" "3" "2021-04-22"
"218" "22_CAM_040200" 1 2 "22_CAM_04" "3" "2021-04-22"
"219" "22_CAM_040300" 1 2 "22_CAM_04" "3" "2021-05-07"
"220" "22_CAM_040400" 1 2 "22_CAM_04" "3" "2021-05-07"
"221" "22_CAM_040500" 1 2 "22_CAM_04" "3" "2021-05-07"
"222" "22_CAM_040600" 1 2 "22_CAM_04" "3" "2021-05-07"
"223" "22_CAM_040700" 1 2 "22_CAM_04" "3" "2021-05-07"
"224" "22_CAM_040800" 1 2 "22_CAM_04" "3" "2021-05-07"
"225" "22_CAM_040900" 1 2 "22_CAM_04" "3" "2021-05-07"
"226" "22_CAM_050100" 3 2 "22_CAM_05" "3" "2021-05-07"
"227" "22_CAM_050200" 5 2 "22_CAM_05" "3" "2021-05-07"
"228" "22_CAM_050300" 3 2 "22_CAM_05" "3" "2021-05-07"
"229" "22_CAM_050400" 3 2 "22_CAM_05" "3" "2021-05-07"
"230" "22_CAM_050500" 3 2 "22_CAM_05" "3" "2021-05-07"
"231" "22_CAM_050600" 3 2 "22_CAM_05" "3" "2021-05-12"
"232" "22_CAM_050700" 5 2 "22_CAM_05" "3" "2021-05-12"
"233" "22_CAM_050800" 3 2 "22_CAM_05" "3" "2021-05-12"
"234" "22_CAM_050900" 3 2 "22_CAM_05" "3" "2021-05-12"
"235" "22_CAM_060100" 3 2 "22_CAM_06" "3" "2021-05-12"
"236" "22_CAM_060200" 3 2 "22_CAM_06" "3" "2021-05-12"
"237" "22_CAM_060300" 3 2 "22_CAM_06" "3" "2021-05-12"
"238" "22_CAM_060400" 3 2 "22_CAM_06" "3" "2021-05-12"
"239" "22_CAM_060500" 3 2 "22_CAM_06" "3" "2021-05-12"
"240" "22_CAM_060600" 3 2 "22_CAM_06" "3" "2021-05-12"
"241" "22_CAM_060700" 3 2 "22_CAM_06" "3" "2021-05-12"
"242" "22_CAM_060800" 3 2 "22_CAM_06" "3" "2021-05-12"
"243" "22_CAM_060900" 3 2 "22_CAM_06" "3" "2021-05-12"
"244" "22_CAM_070100" 5 2 "22_CAM_07" "3" "2021-05-12"
"245" "22_CAM_070200" 3 2 "22_CAM_07" "3" "2021-05-12"
"246" "22_CAM_070300" 3 2 "22_CAM_07" "3" "2021-05-12"
"247" "22_CAM_070400" 5 2 "22_CAM_07" "3" "2021-05-12"
"248" "22_CAM_070500" 5 2 "22_CAM_07" "3" "2021-05-12"
"249" "22_CAM_070600" 3 2 "22_CAM_07" "3" "2021-05-12"
"250" "22_CAM_070700" 3 2 "22_CAM_07" "3" "2021-05-12"
"251" "22_CAM_070800" 3 2 "22_CAM_07" "3" "2021-05-12"
"252" "22_CAM_070900" 3 2 "22_CAM_07" "3" "2021-05-12"
"253" "22_CAM_080100" 4 2 "22_CAM_08" "2" "2021-05-12"
"254" "22_CAM_080200" 4 2 "22_CAM_08" "2" "2021-05-12"
