"Host_code" "Viral_richness" "Plant_richness" "year" "grid" "quadra" "total_cover" "Host_community" "GPS_localisation" "Locality" "Country" "Ecosystem" "Collection_date" "Sequencing_plate" "Biomass" "Grid_code" "Vegetation" "Litter" "Soil" "Free_space"
"24" "20_CAM_040900" 12 5 "20" "04" "09" 88.5 "Juncus maritimus_3;Elytrigia sp._3;Brachypodium phoenicoides_62,5;Iris reichenbachiana_20" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-3_E12" 13.32 "20_CAM_04" 80 20 0 20
"25" "20_CAM_050700" 3 8 "20" "05" "07" 117 "Juncus maritimus_37,5;Elytrigia sp._37,5;Limonium narbonense_37,5;Centaurium tenuiflorum subsp. acutiflorum_3;Lactuca saligna_0,5;Dactylis glomerata_0,5;Phillyrea angustifolia_0,5" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_F07" 33.49 "20_CAM_05" 90 10 0 10
"26" "20_CAM_050400" 1 3 "20" "05" "04" 82.5 "Juncus maritimus_20;Elytrigia sp._62,5" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_F09" 14.69 "20_CAM_05" 75 25 0 25
"27" "20_CAM_050100" 8 8 "20" "05" "01" 80 "Juncus maritimus_37,5;Elytrigia sp._37,5;Parapholis filiformis_3;Torilis nodosa subsp. nodosa_0,5;Geranium dissectum_0,5;Lysimachia arvensis_0,5;Limonium narbonense_0,5" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_G11" 49.67 "20_CAM_05" 70 30 0 30
"28" "20_CAM_050900" 3 4 "20" "05" "09" 110 "Juncus maritimus_37,5;Elytrigia sp._62,5;Limonium narbonense_10" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_H06" 24.09 "20_CAM_05" 80 20 0 20
"29" "20_CAM_050600" 5 4 "20" "05" "06" 78 "Juncus maritimus_37,5;Elytrigia sp._37,5;Halimione portulacoides_3" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_H08" 68.44 "20_CAM_05" 90 10 0 10
"30" "21_CAM_050400" 2 5 "21" "05" "04" 63.5 "Phragmites australis_37,5;Juncus gerardi_20;Aeluropus littoralis_3;Puccinellia festuciformis_3" "43.49410924427809,4.695380319491322" "Arles" "France" "Pond grassland" "2021-05-12" "EDGGA-3_A04" 4.87 "21_CAM_05" 40 20 40 60
"31" "21_CAM_020700" 2 19 "21" "02" "07" 50 "Carex divisa_3;Trifolium scabrum_3;Erodium cicutarium_10;Crepis capillaris_10;Plantago lagopus_10;Arenaria leptoclados_0,5;Trifolium suffocatum_0,5;Poa bulbosa_3;Hypochaeris glabra_0,5;Euphorbia exigua_0,5;Lobularia maritima_3;Vulpia ciliata subsp. ciliata_0,5;Plantago coronopus_0,5;Geranium molle_0,5;Trifolium nigrescens_0,5;Erigeron sp._0,5;Medicago polymorpha_3;Veronica arvensis_0,5" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_A07" 3.53 "21_CAM_02" 80 15 5 20
"32" "21_CAM_010100" 5 27 "21" "01" "01" 64 "Plantago lagopus_3;Dactylis glomerata subsp. hispanica_10;Linum usitatissimum subsp. angustifolium_3;Euphorbia exigua_3;Lysimachia arvensis_0,5;Filago pygmaea_10;Erodium cicutarium_3;Sherardia arvensis_3;Crepis capillaris_10;Galium murale_0,5;Brachypodium distachyon_3;Crepis sancta_0,5;Geranium molle_0,5;Euphorbia falcata_0,5;Centaurium sp._0,5;Hypochaeris glabra_3;Cerastium pumilum_0,5;Medicago polymorpha_3;Plantago bellardii_0,5;Catapodium rigidum_0,5;Bupleurum semicompositum_0,5;Trifolium sp._0,5;Carex divisa_0,5;Bellis annua_0,5;Plantago coronopus_0,5;Poa bulbosa_3" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_A09" 7.33 "21_CAM_01" 70 30 0 30
"33" "21_CAM_020800" 2 19 "21" "02" "08" 55.5 "Carex divisa_20;Trifolium scabrum_0,5;Erodium cicutarium_10;Crepis capillaris_0,5;Plantago lagopus_3;Arenaria leptoclados_3;Leontodon sp._3;Trifolium suffocatum_0,5;Poa bulbosa_0,5;Bupleurum semicompositum_0,5;Cynodon dactylon_3;Filago pygmaea_0,5;Lobularia maritima_0,5;Geranium molle_3;Crepis vesicaria subsp. taraxacifolia_3;Erigeron sp._0,5;Medicago polymorpha_0,5;Trigonella esculenta_3" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_B07" 3.03 "21_CAM_02" 60 30 10 40
"34" "21_CAM_010200" 3 15 "21" "01" "02" 33.5 "Plantago lagopus_3;Euphorbia exigua_0,5;Erodium cicutarium_10;Crepis capillaris_0,5;Galium murale_0,5;Geranium molle_0,5;Euphorbia falcata_0,5;Hypochaeris glabra_0,5;Bupleurum semicompositum_0,5;Carex divisa_10;Lobularia maritima_0,5;Arenaria leptoclados_0,5;Cynodon dactylon_3;Poa bulbosa_3" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_B09" 3.96 "21_CAM_01" 25 75 0 75
"35" "21_CAM_080100" 1 4 "21" "08" "01" 78 "Schedonorus arundinaceus_37,5;Trifolium pratense_37,5;Lotus glaber_3" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-3_C01" 19.24 "21_CAM_08" 100 0 0 0
"36" "21_CAM_060500" 1 6 "21" "06" "05" 47 "Aster squamatus_3;Phragmites australis_3;Paspalum distichum_0,5;Juncus gerardi_37,5;Polypogon sp._3" "43.48828610964884,4.696195430889288" "Arles" "France" "Pond grassland" "2021-05-12" "EDGGA-3_C03" 7.86 "21_CAM_06" 50 50 0 50
"37" "21_CAM_020900" 1 20 "21" "02" "09" 82 "Carex divisa_10;Erodium cicutarium_10;Crepis capillaris_10;Plantago lagopus_20;Arenaria leptoclados_3;Trifolium suffocatum_0,5;Poa bulbosa_20;Bupleurum semicompositum_0,5;Salvia verbenaca subsp. clandestina_0,5;Hypochaeris glabra_0,5;Lobularia maritima_3;Vulpia ciliata subsp. ciliata_0,5;Trifolium campestre_0,5;Erigeron sp._0,5;Sabulina tenuifolia_0,5;Veronica arvensis_0,5;Filago pyramidata_0,5;Polycarpon tetraphyllum_0,5;Brachypodium distachyon_0,5" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_C07" 4.95 "21_CAM_02" 90 10 0 10
"38" "21_CAM_010300" 1 16 "21" "01" "03" 56.5 "Plantago lagopus_0,5;Linum usitatissimum subsp. angustifolium_0,5;Euphorbia exigua_0,5;Filago pygmaea_20;Erodium cicutarium_3;Crepis capillaris_3;Galium murale_0,5;Crepis sancta_0,5;Bupleurum semicompositum_0,5;Carex divisa_0,5;Plantago coronopus_0,5;Cynodon dactylon_20;Crepis vesicaria subsp. taraxacifolia_3;Trifolium campestre_0,5;Poa bulbosa_3" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_C09" 4.38 "21_CAM_01" 50 40 10 50
"39" "21_CAM_080200" 1 4 "21" "08" "02" 93.5 "Schedonorus arundinaceus_87,5;Trifolium pratense_3;Lotus glaber_3" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-3_D01" 24.25 "21_CAM_08" 100 0 0 0
"40" "21_CAM_050700" 1 7 "21" "05" "07" 44.5 "Bolboschoenus maritimus_0,5;Phragmites australis_20;Paspalum distichum_0,5;Polypogon monspeliensis_20;Asteraceae sp._0,5;Ranunculus peltatus subsp. peltatus_3" "43.49410924427809,4.695380319491322" "Arles" "France" "Pond grassland" "2021-05-12" "EDGGA-3_D04" 6.98 "21_CAM_05" 40 10 50 60
"41" "21_CAM_020200" 1 18 "21" "02" "02" 52 "Carex divisa_3;Trifolium scabrum_3;Erodium cicutarium_0,5;Crepis capillaris_3;Plantago lagopus_0,5;Arenaria leptoclados_0,5;Poa bulbosa_10;Bupleurum semicompositum_0,5;Scolymus hispanicus_10;Dactylis glomerata subsp. hispanica_3;Cynodon dactylon_10;Filago pygmaea_0,5;Salvia verbenaca subsp. clandestina_3;Hypochaeris glabra_3;Euphorbia exigua_0,5;Lobularia maritima_0,5;Vulpia ciliata subsp. ciliata_0,5" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_D08" 3.8 "21_CAM_02" 40 50 10 60
"42" "21_CAM_010400" 5 17 "21" "01" "04" 34.5 "Plantago lagopus_3;Linum usitatissimum subsp. angustifolium_0,5;Euphorbia exigua_0,5;Lysimachia arvensis_0,5;Filago pygmaea_0,5;Erodium cicutarium_3;Crepis capillaris_3;Brachypodium distachyon_10;Euphorbia falcata_0,5;Hypochaeris glabra_0,5;Medicago polymorpha_0,5;Plantago coronopus_0,5;Lobularia maritima_0,5;Poa bulbosa_10;Lysimachia linum-stellatum_0,5;Hedypnois rhagadioloides_0,5" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_D09" 3.43 "21_CAM_01" 70 30 0 30
"43" "21_CAM_080300" 1 5 "21" "08" "03" 108.5 "Schedonorus arundinaceus_87,5;Trifolium pratense_20;Lotus glaber_0,5;Paspalum dilatatum_0,5" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-3_E01" 11.85 "21_CAM_08" 90 10 0 10
"44" "21_CAM_040100" 1 4 "21" "04" "01" 85 "Aeluropus littoralis_37,5;Parapholis filiformis_37,5;Hordeum marinum_10" "43.50070299580693,4.694788036867976" "Arles" "France" "Restored grassland" "2021-05-12" "EDGGA-3_E06" 5.39 "21_CAM_04" 70 5 25 30
"45" "21_CAM_010500" 1 16 "21" "01" "05" 22.5 "Plantago lagopus_3;Linum usitatissimum subsp. angustifolium_0,5;Euphorbia exigua_0,5;Filago pygmaea_3;Erodium cicutarium_3;Galium murale_0,5;Euphorbia falcata_0,5;Hypochaeris glabra_0,5;Bupleurum semicompositum_0,5;Carex divisa_3;Plantago coronopus_3;Poa bulbosa_3;Hedypnois rhagadioloides_0,5;Vulpia ciliata subsp. ciliata_0,5;Galium parisiense_0,5" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_E09" 3.46 "21_CAM_01" 40 40 20 60
"46" "21_CAM_080400" 2 6 "21" "08" "04" 94.5 "Schedonorus arundinaceus_87,5;Trifolium pratense_3;Lotus glaber_0,5;Potentilla reptans_3;Paspalum dilatatum_0,5" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-3_F01" 14.37 "21_CAM_08" 90 10 0 10
"47" "21_CAM_070500" 1 4 "21" "07" "05" 93.5 "Hordeum marinum_3;Suaeda splendens_87,5;Suaeda spicata_3" "43.48474788249911,4.703311642397808" "Arles" "France" "Restored grassland" "2021-05-12" "EDGGA-3_F02" 4.93 "21_CAM_07" 80 20 0 20
"48" "21_CAM_010600" 1 8 "21" "01" "06" 42 "Plantago lagopus_0,5;Euphorbia exigua_0,5;Erodium cicutarium_10;Crepis capillaris_0,5;Bupleurum semicompositum_0,5;Lobularia maritima_20;Poa bulbosa_10" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_F09" 3.56 "21_CAM_01" 40 60 0 60
"49" "21_CAM_020500" 1 18 "21" "02" "05" 87 "Carex divisa_20;Trifolium scabrum_3;Erodium cicutarium_3;Crepis capillaris_0,5;Plantago lagopus_3;Arenaria leptoclados_0,5;Leontodon sp._0,5;Trifolium suffocatum_0,5;Poa bulbosa_3;Cynodon dactylon_0,5;Salvia verbenaca subsp. clandestina_37,5;Hypochaeris glabra_0,5;Galium parisiense_0,5;Geranium molle_3;Erigeron sp._0,5;Medicago polymorpha_10;Galium murale_0,5" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_G08" 4.17 "21_CAM_02" 80 20 0 20
"50" "21_CAM_010700" 1 21 "21" "01" "07" 51 "Plantago lagopus_10;Dactylis glomerata subsp. hispanica_10;Linum usitatissimum subsp. angustifolium_3;Euphorbia exigua_0,5;Lysimachia arvensis_0,5;Filago pygmaea_3;Erodium cicutarium_10;Crepis capillaris_3;Galium murale_0,5;Euphorbia falcata_0,5;Hypochaeris glabra_0,5;Medicago polymorpha_0,5;Bupleurum semicompositum_0,5;Carex divisa_3;Plantago coronopus_0,5;Crepis vesicaria subsp. taraxacifolia_3;Galium parisiense_0,5;Trifolium scabrum_0,5;Cerastium semidecandrum_0,5;Medicago monspeliaca_0,5" "43.414448767808,4.704240329148496" "Arles" "France" "Mediterranean grassland annuals" "2021-04-22" "EDGGA-3_G09" 3.41 "21_CAM_01" 70 30 0 30
"51" "21_CAM_020600" 1 23 "21" "02" "06" 64.5 "Carex divisa_10;Erodium cicutarium_0,5;Crepis capillaris_0,5;Plantago lagopus_3;Arenaria leptoclados_0,5;Leontodon sp._3;Poa bulbosa_3;Bupleurum semicompositum_0,5;Dactylis glomerata subsp. hispanica_20;Cynodon dactylon_3;Salvia verbenaca subsp. clandestina_3;Euphorbia exigua_0,5;Trifolium campestre_0,5;Catapodium rigidum_0,5;Plantago coronopus_0,5;Geranium molle_0,5;Crepis vesicaria subsp. taraxacifolia_3;Erigeron sp._0,5;Medicago polymorpha_10;Veronica arvensis_0,5;Filago pyramidata_0,5;Plantago bellardii_0,5" "43.417497337058506,4.70189630659263" "Arles" "France" "Mediterranean grassland annuals" "2021-05-07" "EDGGA-3_H08" 2.94 "21_CAM_02" 85 10 5 15
"52" "21_CAM_170300" 3 3 "21" "17" "03" 30 "Juncus maritimus_20;Elytrigia acuta_10" "43.40982198215387,4.60590186937674" "Arles" "France" "Dune grassland" "2021-06-21" "EDGGA-4_A02" 11.02 "21_CAM_17" 30 70 0 70
"53" "21_CAM_160500" 1 6 "21" "16" "05" 27 "Phragmites australis_3;Silene italica_20;Lobularia maritima_0,5;Vulpia fasciculata_3;Bromus diandrus_0,5" "43.41520217236054,4.616899180511894" "Arles" "France" "Dune grassland" "2021-06-21" "EDGGA-4_A03" 5.91 "21_CAM_16" 30 30 40 70
"54" "21_CAM_120200" 2 4 "21" "12" "02" 66 "Brachypodium phoenicoides_62,5;Elytrigia campestris_3;Ervum gracile_0,5" "43.580759365754986,4.6534799906287" "Arles" "France" "Brachypodium-dominated grassland" "2021-06-08" "EDGGA-4_A08" 7.69 "21_CAM_12" 70 30 0 30
"55" "21_CAM_090600" 4 5 "21" "09" "06" 101 "Schedonorus arundinaceus_87,5;Potentilla reptans_0,5;Trifolium repens_10;Paspalum dilatatum_3" "43.58004,4.66257" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-4_A11" 18.82 "21_CAM_09" 100 0 0 0
"56" "21_CAM_080700" 2 7 "21" "08" "07" 104.5 "Schedonorus arundinaceus_87,5;Trifolium pratense_3;Lotus glaber_10;Paspalum dilatatum_0,5;Schedonorus pratensis_0,5;Tragopogon sp._3" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-4_A12" 14.32 "21_CAM_08" 100 0 0 0
"57" "21_CAM_130200" 1 2 "21" "13" "02" 37.5 "Brachypodium phoenicoides_37,5" "43.58006744168011,4.6528288009641" "Arles" "France" "Brachypodium-dominated grassland" "2021-06-08" "EDGGA-4_B07" 15.95 "21_CAM_13" 50 50 0 50
"58" "21_CAM_120300" 2 5 "21" "12" "03" 96.5 "Brachypodium phoenicoides_87,5;Elytrigia campestris_3;Avena barbata_3;Galium aparine_3" "43.580759365754986,4.6534799906287" "Arles" "France" "Brachypodium-dominated grassland" "2021-06-08" "EDGGA-4_B08" 11.71 "21_CAM_12" 90 10 0 10
"59" "21_CAM_100500" 1 5 "21" "10" "05" 123 "Schedonorus arundinaceus_20;Daucus carota_37,5;Agrostis stolonifera_62,5;Trifolium repens_3" "43.50322,4.6785" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-4_B10" 24.25 "21_CAM_10" 100 0 0 0
"60" "21_CAM_090700" 3 5 "21" "09" "07" 96.5 "Schedonorus arundinaceus_87,5;Trifolium repens_3;Paspalum dilatatum_3;Tragopogon sp._3" "43.58004,4.66257" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-4_B11" 13.57 "21_CAM_09" 90 10 0 10
"61" "21_CAM_080800" 2 6 "21" "08" "08" 108 "Schedonorus arundinaceus_37,5;Trifolium pratense_20;Lotus glaber_37,5;Paspalum dilatatum_3;Trifolium repens_10" "43.57882471998165,4.662479958078604" "Arles" "France" "Farmland meadow" "2021-05-25" "EDGGA-4_B12" 20.24 "21_CAM_08" 100 0 0 0
"62" "21_CAM_160700" 2 3 "21" "16" "07" 30 "Silene italica_20;Sporobolus pungens_10" "43.41520217236054,4.616899180511894" "Arles" "France" "Dune grassland" "2021-06-21" "EDGGA-4_C03" 8.42 "21_CAM_16" 30 30 40 70
"63" "21_CAM_120400" 1 4 "21" "12" "04" 88.5 "Brachypodium phoenicoides_87,5;Avena barbata_0,5;Galium aparine_0,5" "43.580759365754986,4.6534799906287" "Arles" "France" "Brachypodium-dominated grassland" "2021-06-08" "EDGGA-4_C08" 21.98 "21_CAM_12" 90 10 0 10
