"Host_code" "Grid_code" "quadra_A" "quadra_B" "dist"
"177" "20_CAM_050600" "20_CAM_05" 6 9 3.53553390593274
"178" "20_CAM_050700" "20_CAM_05" 7 8 5
"179" "20_CAM_050700" "20_CAM_05" 7 9 3.53553390593274
"180" "20_CAM_050800" "20_CAM_05" 8 9 3.53553390593274
"181" "20_BDX_010100" "20_BDX_01" 1 2 9.8
"182" "20_BDX_010100" "20_BDX_01" 1 3 13.8592929112563
"183" "20_BDX_010100" "20_BDX_01" 1 4 9.8
"184" "20_BDX_010100" "20_BDX_01" 1 5 3.39411254969543
"185" "20_BDX_010100" "20_BDX_01" 1 6 7.77946013551069
"186" "20_BDX_010100" "20_BDX_01" 1 7 10.4651803615609
"187" "20_BDX_010100" "20_BDX_01" 1 8 7.77946013551069
"188" "20_BDX_010100" "20_BDX_01" 1 9 6.92964645562817
"189" "20_BDX_010200" "20_BDX_01" 2 3 9.8
"190" "20_BDX_010200" "20_BDX_01" 2 4 13.8592929112563
"191" "20_BDX_010200" "20_BDX_01" 2 5 7.77946013551069
"192" "20_BDX_010200" "20_BDX_01" 2 6 3.39411254969543
"193" "20_BDX_010200" "20_BDX_01" 2 7 7.77946013551069
"194" "20_BDX_010200" "20_BDX_01" 2 8 10.4651803615609
"195" "20_BDX_010200" "20_BDX_01" 2 9 6.92964645562817
"196" "20_BDX_010300" "20_BDX_01" 3 4 9.8
"197" "20_BDX_010300" "20_BDX_01" 3 5 10.4651803615609
"198" "20_BDX_010300" "20_BDX_01" 3 6 7.77946013551069
"199" "20_BDX_010300" "20_BDX_01" 3 7 3.39411254969543
"200" "20_BDX_010300" "20_BDX_01" 3 8 7.77946013551069
"201" "20_BDX_010300" "20_BDX_01" 3 9 6.92964645562817
"202" "20_BDX_010400" "20_BDX_01" 4 5 7.77946013551069
"203" "20_BDX_010400" "20_BDX_01" 4 6 10.4651803615609
"204" "20_BDX_010400" "20_BDX_01" 4 7 7.77946013551069
"205" "20_BDX_010400" "20_BDX_01" 4 8 3.39411254969543
"206" "20_BDX_010400" "20_BDX_01" 4 9 6.92964645562817
"207" "20_BDX_010500" "20_BDX_01" 5 6 5
"208" "20_BDX_010500" "20_BDX_01" 5 7 7.07106781186548
"209" "20_BDX_010500" "20_BDX_01" 5 8 5
"210" "20_BDX_010500" "20_BDX_01" 5 9 3.53553390593274
"211" "20_BDX_010600" "20_BDX_01" 6 7 5
"212" "20_BDX_010600" "20_BDX_01" 6 8 7.07106781186548
"213" "20_BDX_010600" "20_BDX_01" 6 9 3.53553390593274
"214" "20_BDX_010700" "20_BDX_01" 7 8 5
"215" "20_BDX_010700" "20_BDX_01" 7 9 3.53553390593274
"216" "20_BDX_010800" "20_BDX_01" 8 9 3.53553390593274
"217" "20_BDX_020100" "20_BDX_02" 1 2 9.8
"218" "20_BDX_020100" "20_BDX_02" 1 3 13.8592929112563
"219" "20_BDX_020100" "20_BDX_02" 1 4 9.8
"220" "20_BDX_020100" "20_BDX_02" 1 5 3.39411254969543
"221" "20_BDX_020100" "20_BDX_02" 1 6 7.77946013551069
"222" "20_BDX_020100" "20_BDX_02" 1 7 10.4651803615609
"223" "20_BDX_020100" "20_BDX_02" 1 8 7.77946013551069
"224" "20_BDX_020100" "20_BDX_02" 1 9 6.92964645562817
"225" "20_BDX_020200" "20_BDX_02" 2 3 9.8
"226" "20_BDX_020200" "20_BDX_02" 2 4 13.8592929112563
"227" "20_BDX_020200" "20_BDX_02" 2 5 7.77946013551069
"228" "20_BDX_020200" "20_BDX_02" 2 6 3.39411254969543
"229" "20_BDX_020200" "20_BDX_02" 2 7 7.77946013551069
"230" "20_BDX_020200" "20_BDX_02" 2 8 10.4651803615609
"231" "20_BDX_020200" "20_BDX_02" 2 9 6.92964645562817
"232" "20_BDX_020300" "20_BDX_02" 3 4 9.8
